"Date","Number 1","Number 2","Number 3","Number 4","Number 5","Megaball","Megaplier","Jackpot"
"10/06/2017","33","56","21","45","36","12","5","30000000.0000"
"10/03/2017","25","18","19","12","67","7","5","25000000.0000"
"09/29/2017","62","73","74","51","25","7","5","20000000.0000"
"09/26/2017","10","66","1","75","57","4","4","15000000.0000"
"09/22/2017","63","39","54","5","66","15","5","104000000.0000"
"09/19/2017","9","61","50","28","31","10","2","94000000.0000"
"09/15/2017","38","34","18","58","24","3","4","86000000.0000"
"09/12/2017","37","65","26","54","41","3","4","76000000.0000"
"09/08/2017","4","73","14","26","5","14","3","70000000.0000"
"09/05/2017","17","59","70","11","72","1","3","61000000.0000"
"09/01/2017","64","13","4","50","31","12","5","53000000.0000"
"08/29/2017","17","73","2","13","35","3","3","45000000.0000"
"08/25/2017","65","51","38","42","17","11","5","37000000.0000"
"08/22/2017","51","24","46","35","50","7","4","25000000.0000"
"08/18/2017","31","40","1","75","34","6","3","20000000.0000"
"08/15/2017","7","20","16","73","66","7","2","15000000.0000"
"08/11/2017","56","23","58","33","53","6","5","393000000.0000"
"08/08/2017","11","17","50","52","74","14","2","350000000.0000"
"08/04/2017","25","17","71","9","63","4","5","323000000.0000"
"08/01/2017","52","20","22","57","73","7","5","303000000.0000"
"07/28/2017","4","31","6","49","52","11","3","282000000.0000"
"07/25/2017","58","5","60","26","2","6","3","262000000.0000"
"07/21/2017","18","31","50","36","74","10","4","248000000.0000"
"07/18/2017","73","51","8","23","12","6","4","232000000.0000"
"07/14/2017","73","24","12","11","32","1","4","217000000.0000"
"07/11/2017","55","74","7","24","18","10","2","202000000.0000"
"07/07/2017","60","28","9","11","2","10","5","186000000.0000"
"07/04/2017","53","16","39","71","47","15","4","172000000.0000"
"06/30/2017","10","55","51","38","64","6","5","158000000.0000"
"06/27/2017","4","57","21","45","52","14","4","145000000.0000"
"06/23/2017","20","12","66","74","53","11","2","134000000.0000"
"06/20/2017","63","41","2","49","15","3","3","123000000.0000"
"06/16/2017","18","26","44","30","22","9","5","113000000.0000"
"06/13/2017","62","51","75","68","27","8","3","101000000.0000"
"06/09/2017","33","37","16","3","28","9","5","90000000.0000"
"06/06/2017","49","75","16","3","5","5","3","80000000.0000"
"06/02/2017","72","7","57","42","69","10","3","74000000.0000"
"05/30/2017","32","37","20","5","67","5","5","65000000.0000"
"05/26/2017","56","26","28","25","37","5","3","58000000.0000"
"05/23/2017","33","6","17","60","13","14","2","50000000.0000"
"05/19/2017","5","24","4","30","1","1","3","43000000.0000"
"05/16/2017","56","35","4","72","39","11","5","36000000.0000"
"05/12/2017","42","47","28","34","41","13","4","30000000.0000"
"05/09/2017","6","45","73","69","29","11","5","25000000.0000"
"05/05/2017","47","23","53","33","4","7","4","20000000.0000"
"05/02/2017","43","42","5","58","14","1","4","15000000.0000"
"04/28/2017","18","6","13","20","31","13","4","61000000.0000"
"04/25/2017","3","50","13","40","33","2","4","52000000.0000"
"04/21/2017","1","12","32","34","13","10","2","45000000.0000"
"04/18/2017","64","29","8","43","30","6","3","37000000.0000"
